epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.1292,1.85203,4.11258,1.61691,0.66019,0.09649,0.08119,0.04045,1.91885,3.5223,1.60608,0.000273259,0.000273259,0.000273259
2,20.9443,1.75734,3.20082,1.52319,0.51763,0.11243,0.10403,0.04605,1.92919,2.93399,1.66068,0.000278218,0.000278218,0.000278218
